stationID,name
0,Wulin Square
1,Longxiangqiao
2,Ding'an Road
3,Jiangling Road
4,Chengzhan
5,West Lake
6,Fengqi Road
7,Wenze Road
8,Binkang Road
9,Xixi
10,Gongshu
11,Wushan Square
12,Qianjiang Road
13,Qiutao Road
14,Jinjiang
15,Yan'an Road
16,Nanxing
17,Baochu Road
18,Wenyi Road
19,Sandun
20,Liuxia
21,Puyan
22,Changhe
23,Xiaoshan
24,Ningwei
25,Zhijiang
26,Zhuantang
27,Xixing
28,Binhe Road
29,Jianghan Road
30,Chunbo
31,Shixin Road
32,Xiangwang
33,Yucai Road
34,Beishan
35,Gudang
36,Wensan Road
37,Guyi Road
38,Shen'an
39,Dinghai
40,Hemu
41,Chaoyang
42,Jinsha Lake
43,Xiasha
44,Yunshui
45,Gaosha Road
46,Jiangdong
47,Wenhui
48,Xiaoshan Airport
49,Yaqian
50,Hangzhou East
51,Pengbu
52,Zhongheng
53,Wangjiang
54,Jianguo Road
55,Chengzhan South
56,Nanxingqiao
57,Xintang
58,Baiyang
59,Qiaonan
60,Liangzhu
61,Pingyao
62,Wuchang
63,Cangqian
64,Liuhe Tower
65,Longwangtang
66,Zhaogongqiao
67,Xueyuan Road
68,Sanbao
69,Shiqiao
70,Genshan
71,Xincheng
72,Qianjiang Century
73,Riverside
74,Jinji Road
75,Hubin
76,Nanshan Road
77,Wangjiangmen
78,Yuhang
79,Linping
80,Yunhe
